stem,folders
_D5C1932,2021.3;2025.3
_D5C1940,2025.1;2025.3
_D5C1980,2021.3;2025.1
_D5C1982,2021.3;2025.3
_D5C1995,2025.2;2025.3
_D5C2008,2018.3;2025.1;2025.3
_D5C2041,2025.1;2025.3
_D5C2071,2025.1;2025.2
_D5C2072,2019.1;2025.2
_D5C2074,2019.1;2025.2
_D5C2104,2019.1;2025.1
_D5C2134,2019.1;2025.2
_D5C2142,2019.1;2025.1
_D5C2162,2019.1;2025.3
_D5C2309,2021.3;2025.2
_D5C2329,2018.3;2025.1;2025.2
_D5C2330,2019.1;2025.3
_D5C2335,2018.3;2025.2
_D5C2383,2019.1;2025.1
_D5C2464,2021.3;2025.2
_D5C2467,2019.1;2021.3
_D5C2481,2025.2;2025.3
_D5C2489,2019.1;2025.1
_D5C2526,2025.1;2025.2
_D5C2530,2021.3;2025.1;2025.3
_D5C2544,2021.3;2025.2
_D5C2548,2025.1;2025.2
_D5C2561,2019.1;2025.2
_D5C2582,2025.1;2025.2
_D5C2625,2018.3;2025.2
_D5C2633,2019.1;2021.3
_D5C2636,2021.3;2025.1
_D5C2644,2019.1;2025.1
_D5C2657,2018.3;2025.1
_D5C2667,2019.1;2021.3
_D5C2696,2021.3;2025.1
_D5C2701,2021.3;2025.2
_D5C2708,2019.1;2025.3
_D5C2721,2019.1;2025.3
_D5C2722,2018.3;2025.2
_D5C2725,2019.1;2021.3
_D5C2729,2019.1;2025.2
_D5C2734,2019.1;2025.2
_D5C2737,2021.3;2025.2
_D5C2782,2019.1;2021.3
_D5C2789,2021.3;2025.2
_D5C2799,2019.1;2025.2
_D5C2828,2021.3;2025.1
_D5C2846,2025.1;2025.3
_D5C2848,2021.3;2025.1
_D5C2873,2025.1;2025.2
_D5C2875,2019.1;2025.1
_D5C2878,2021.3;2025.1;2025.3
_D5C2879,2018.3;2021.3
_D5C2899,2019.1;2025.1
_D5C2902,2018.3;2021.3
_D5C2926,2025.1;2025.2
_D5C2933,2019.1;2025.1
_D5C2948,2019.1;2021.3;2025.1
_D5C2956,2025.1;2025.3
_D5C2963,2018.3;2025.3
_D5C2982,2018.3;2025.2
_D5C2987,2025.1;2025.3
_D5C3022,2021.3;2025.1
_D5C3028,2019.1;2019.2
_D5C3036,2019.2;2021.3
_D5C3041,2019.2;2025.1
_D5C3075,2019.2;2021.3;2025.1
_D5C3076,2018.3;2025.1
_D5C3081,2019.2;2025.3
_D5C3083,2019.1;2019.2
_D5C3095,2019.1;2025.3
_D5C3099,2019.2;2021.3;2025.3
_D5C3102,2025.1;2025.2
_D5C3110,2018.3;2025.1
_D5C3132,2019.2;2025.3
_D5C3138,2018.3;2021.3
_D5C3166,2019.1;2025.1
_D5C3166-Enhanced-NR,2025.1;2025.3
_D5C3198,2019.2;2021.3;2025.1
_D5C3203,2021.3;2025.1
_D5C3206,2025.1;2025.3
_D5C3207,2021.3;2025.1;2025.3
_D5C3211,2025.1;2025.3
_D5C3239,2019.2;2025.1
_D5C3243,2019.1;2025.3
_D5C3245,2021.3;2025.1
_D5C3247,2019.2;2025.1
_D5C3251,2018.4;2019.1
_D5C3253,2025.1;2025.2
_D5C3264,2019.2;2025.1;2025.2;2025.3
_D5C3293,2019.2;2021.3
_D5C3299,2025.1;2025.2
_D5C3322,2019.2;2025.2
_D5C3360,2019.2;2021.3
_D5C3362,2019.2;2021.3
_D5C3364,2021.3;2025.3
_D5C3386,2021.3;2025.1
_D5C3388,2018.4;2019.2
_D5C3394,2019.2;2025.1;2025.3
_D5C3399,2018.4;2025.1
_D5C3403,2025.1;2025.2
_D5C3409,2019.2;2025.1
_D5C3413,2025.1;2025.2
_D5C3443,2018.4;2025.1
_D5C3463,2018.4;2019.2
_D5C3465,2025.1;2025.3
_D5C3479,2025.1;2025.3
_D5C3484,2021.3;2025.3
_D5C3485,2025.1;2025.3
_D5C3504,2025.1;2025.2
_D5C3600,2019.2;2021.3
_D5C3725,2018.4;2019.2
_D5C3759,2018.4;2025.2
_D5C3776,2025.1;2025.2
_D5C3798,2018.4;2025.1
_D5C3805,2018.4;2021.3
_D5C3856,2025.2;2025.3
_D5C3876,2018.4;2019.2
_D5C3890,2019.2;2025.1
_D5C3898,2019.2;2025.1
_D5C3900,2021.3;2025.1
_D5C3903,2018.4;2025.3
_D5C3921,2021.3;2025.3
_D5C3934,2021.3;2025.1
_D5C3968,2025.1;2025.3
_D5C3981,2021.3;2025.2
_D5C4085,2018.4;2021.3
_D5C4109,2025.1;2025.2
_D5C4148,2025.2;2025.3
_D5C4188,2018.4;2025.1
