jpg_resolves_now,reason,year,half_year,trip,stem,verdict,jpg_path,xmp_path
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6686,ok,data/jpg/2019.4/_D8S6686.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6686.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6689,ok,data/jpg/2019.4/_D8S6689.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6689.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6698,ok,data/jpg/2019.4/_D8S6698.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6698.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6744,ok,data/jpg/2019.4/_D8S6744.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6744.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6765,ok,data/jpg/2019.4/_D8S6765.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6765.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6797,ok,data/jpg/2019.4/_D8S6797.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6797.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6807,ok,data/jpg/2019.4/_D8S6807.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6807.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6829,ok,data/jpg/2019.4/_D8S6829.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6829.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6864,ok,data/jpg/2019.4/_D8S6864.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6864.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6893,ok,data/jpg/2019.4/_D8S6893.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6893.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S6950,ok,data/jpg/2019.4/_D8S6950.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S6950.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7056,ok,data/jpg/2019.4/_D8S7056.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7056.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7093,ok,data/jpg/2019.4/_D8S7093.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7093.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7097,ok,data/jpg/2019.4/_D8S7097.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7097.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7101,ok,data/jpg/2019.4/_D8S7101.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7101.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7139,ok,data/jpg/2019.4/_D8S7139.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7139.xmp
True,no keywords + missing JPEG in CSV,2019,2019.4,2019-02-05 山公园11号塘 & 棕背田鸡,_D8S7162,ok,data/jpg/2019.4/_D8S7162.jpg,data/xmp/result-2019/raw/2019.4/2019-02-05 山公园11号塘 & 棕背田鸡/_D8S7162.xmp
